f0,f1,f2,f3,f4,f5,f6
20180101.0,24,24,24,24,24,24
20180102.0,24,24,24,24,24,24
20180103.0,24,24,24,24,24,24
20180104.0,24,24,24,24,24,24
20180105.0,24,24,24,24,24,24
20180106.0,24,24,24,24,24,24
20180107.0,24,24,24,24,24,24
20180108.0,24,24,24,24,24,24
20180109.0,24,24,24,24,24,24
20180110.0,24,24,24,24,24,24
20180111.0,24,24,24,24,24,24
20180112.0,24,24,24,24,24,24
20180113.0,24,24,24,24,24,24
20180114.0,24,24,24,24,24,24
20180115.0,24,24,24,24,24,24
20180116.0,24,24,24,24,24,24
20180117.0,24,24,24,24,24,24
20180118.0,24,24,24,24,24,24
20180119.0,24,24,24,24,24,24
20180120.0,24,24,24,24,24,24
20180121.0,24,24,24,24,24,24
20180122.0,24,24,24,24,24,24
20180123.0,24,24,24,24,24,24
20180124.0,24,24,24,24,24,24
20180125.0,24,24,24,24,24,24
20180126.0,24,24,24,24,24,24
20180127.0,24,24,24,24,24,24
20180128.0,24,24,24,24,24,24
20180129.0,24,24,24,24,24,24
20180130.0,24,24,24,24,24,24
20180131.0,24,24,24,24,24,24
20180201.0,24,24,24,24,24,24
20180202.0,24,24,24,24,24,24
20180203.0,24,24,24,24,24,24
20180204.0,24,24,24,24,24,24
20180205.0,24,24,24,24,24,24
20180206.0,24,24,24,24,24,24
20180207.0,24,24,24,24,24,24
20180208.0,24,24,24,24,24,24
20180209.0,24,24,24,24,24,24
20180210.0,24,24,24,24,24,24
20180211.0,24,24,24,24,24,24
20180212.0,24,24,24,24,24,24
20180213.0,24,24,24,24,24,24
20180214.0,24,24,24,24,24,24
20180215.0,24,24,24,24,24,24
20180216.0,24,24,24,24,24,24
20180217.0,24,24,24,24,24,24
20180218.0,24,24,24,24,24,24
20180219.0,24,24,24,24,24,24
20180220.0,24,24,24,24,24,24
20180221.0,24,24,24,24,24,24
20180222.0,24,24,24,24,24,24
20180223.0,24,24,24,24,24,24
20180224.0,24,24,24,24,24,24
20180225.0,24,24,24,24,24,24
20180226.0,24,24,24,24,24,24
20180227.0,24,24,24,24,24,24
20180228.0,24,24,24,24,24,24
20180301.0,24,24,24,24,24,24
20180302.0,24,24,24,24,24,24
20180303.0,24,24,24,24,24,24
20180304.0,24,24,24,24,24,24
20180305.0,24,24,24,24,24,24
20180306.0,24,24,24,24,24,24
20180307.0,24,24,24,24,24,24
20180308.0,24,24,24,24,24,24
20180309.0,24,24,24,24,24,24
20180310.0,24,24,24,24,24,24
20180311.0,24,24,24,24,24,24
20180312.0,24,24,24,24,24,24
20180313.0,24,24,24,24,24,24
20180314.0,24,24,24,24,24,24
20180315.0,24,24,24,24,24,24
20180316.0,24,24,24,24,24,24
20180317.0,24,24,24,24,24,24
20180318.0,24,24,24,24,24,24
20180319.0,24,24,24,24,24,24
20180320.0,24,24,24,24,24,24
20180321.0,24,24,24,24,24,24
20180322.0,24,24,24,24,24,24
20180323.0,24,24,24,24,24,24
20180324.0,24,24,24,24,24,24
20180325.0,24,24,24,24,24,24
20180326.0,24,24,24,24,24,24
20180327.0,24,24,24,24,24,24
20180328.0,24,24,24,24,24,24
20180329.0,24,24,24,24,24,24
20180330.0,24,24,24,24,24,24
20180331.0,24,24,24,24,24,24
20180401.0,24,24,24,24,24,24
20180402.0,24,24,24,24,24,24
20180403.0,24,24,24,24,24,24
20180404.0,24,24,24,24,24,24
20180405.0,24,24,24,24,24,24
20180406.0,24,24,24,24,24,24
20180407.0,24,24,24,24,24,24
20180408.0,24,24,24,24,24,24
20180409.0,24,24,24,24,24,24
20180410.0,24,24,24,24,24,24
20180411.0,24,24,24,24,24,24
20180412.0,24,24,24,24,24,24
20180413.0,24,24,24,24,24,24
20180414.0,24,24,24,24,24,24
20180415.0,24,24,24,24,24,24
20180416.0,24,24,24,24,24,24
20180417.0,24,24,24,24,24,24
20180418.0,24,24,24,24,24,24
20180419.0,24,24,24,24,24,24
20180420.0,24,24,24,24,24,24
20180421.0,24,24,24,24,24,24
20180422.0,24,24,24,24,24,24
20180423.0,24,24,24,24,24,24
20180424.0,24,24,24,24,24,24
20180425.0,24,24,24,24,24,24
20180426.0,24,24,24,24,24,24
20180427.0,24,24,24,24,24,24
20180428.0,24,24,24,24,24,24
20180429.0,24,24,24,24,24,24
20180430.0,24,24,24,24,24,24
20180501.0,24,24,24,24,24,24
20180502.0,24,24,24,24,24,24
20180503.0,24,24,24,24,24,24
20180504.0,24,24,24,24,24,24
20180505.0,24,24,24,24,24,24
20180506.0,24,24,24,24,24,24
20180507.0,24,24,24,24,24,24
20180508.0,24,24,24,24,24,24
20180509.0,24,24,24,24,24,24
20180510.0,24,24,24,24,24,24
20180511.0,24,24,24,24,24,24
20180512.0,24,24,24,24,24,24
20180513.0,24,24,24,24,24,24
20180514.0,24,24,24,24,24,24
20180515.0,24,24,24,24,24,24
20180516.0,24,24,24,24,24,24
20180517.0,24,24,24,24,24,24
20180518.0,24,24,24,24,24,24
20180519.0,24,24,24,24,24,24
20180520.0,24,24,24,24,24,24
20180521.0,24,24,24,24,24,24
20180522.0,24,24,24,24,24,24
20180523.0,24,24,24,24,24,24
20180524.0,24,24,24,24,24,24
20180525.0,24,24,24,24,24,24
20180526.0,24,24,24,24,24,24
20180527.0,24,24,24,24,24,24
20180528.0,24,24,24,24,24,24
20180529.0,24,24,24,24,24,24
20180530.0,24,24,24,24,24,24
20180531.0,24,24,24,24,24,24
20180601.0,24,24,24,24,24,24
20180602.0,24,24,24,24,24,24
20180603.0,24,24,24,24,24,24
20180604.0,24,24,24,24,24,24
20180605.0,24,24,24,24,24,24
20180606.0,24,24,24,24,24,24
20180607.0,24,24,24,24,24,24
20180608.0,24,24,24,24,24,24
