집계구코드,행정동코드
1103063010106,11170630
1104059030213,11200590
1107062020003,11260610
1108072010003,11290725
1109069020016,11305534
1116069030006,11500620
1119073020201,11560515
1119055010103,11560550
1122052050003,11650520
1123072010306,11680720
1124059030103,11710566
1124060020001,11710570
1124075010001,11710690
1125067020014,11740660
1103065010002,11170650
1103070030004,11170700
1111065030301,11350630
1112052010103,11380520
1112055030007,11380551
1115054020017,11470540
1119055010003,11560550
1120071030103,11590605
1122067040016,11650652
1124064020019,11710610
1124075010134,11710690
1125073010024,11740610
1125063010022,11740620
1101073020008,11110650
1104054010103,11200540
1106081070002,11230536
1106071010002,11230710
1107057010303,11260570
1108059020420,11290590
1109071030001,11305545
1110057010601,11320710
1111051020006,11350560
1111058040101,11350611
1111077020109,11350695
1112052010003,11380520
1112071050303,11380690
1113068050001,11410685
1116058010018,11500560
1118052060204,11545610
1119073020001,11560515
1120071030003,11590605
1122053030008,11650530
1124068020001,11710641
1125072020014,11740570
1101055020003,11110550
1104052010007,11200520
1104054010003,11200540
1104069010004,11200720
1105057010009,11215760
1105059010005,11215780
1105061030101,11215860
1107065010010,11260630
1108076020008,11290760
1108078020004,11290780
1109061020010,11305600
1109074020003,11305645
1111058040001,11350611
1111076040004,11350665
1112071050203,11380690
1113062010017,11410620
1115065030802,11470630
1118052060104,11545610
1118057010025,11545670
1123071030002,11680690
1105064030006,11215820
1106071020403,11230710
1107073040007,11260655
1108066050117,11290660
1109070010009,11305535
1109072010005,11305555
1112071050102,11380690
1114075020002,11440585
1115051010404,11470510
1115061020007,11470600
1116052022201,11500520
1117061010802,11530720
1119073060109,11560515
1122058020110,11650570
1124054020001,11710532
1124067010005,11710632
1124069010101,11710642
1125059011402,11740590
1101072010009,11110515
1106088010102,11230660
1106088031305,11230660
1107057010002,11260570
1107064040802,11260620
1111059030101,11350612
1111078070106,11350625
1112071050002,11380690
1113074020003,11410555
1113073010018,11410565
1113071010003,11410710
1116052020004,11500520
1117061010702,11530720
1117062020018,11530730
1120073010204,11590630
1121073010003,11620735
1124069010001,11710642
1124080030103,11710680
1124075020102,11710690
1105060010009,11215850
1105062010005,11215870
1106088010002,11230660
1107059031201,11260580
1107060030009,11260590
1107062030004,11260610
1108058010001,11290580
1108058020603,11290580
1111059030001,11350612
1111065040402,11350630
1112052020204,11380520
1115071010310,11470550
1115065030501,11470630
1117061010602,11530720
1120073010104,11590630
1123074020303,11680740
1124060030002,11710570
1103063020007,11170630
1103065020003,11170650
1106089010014,11230740
1108058020503,11290580
1108085040001,11290810
1110053010009,11320680
1115065030401,11470630
1119055020004,11560550
1120071040104,11590605
1121058010005,11620585
1124071010010,11710650
1106081080003,11230536
1106091020107,11230600
1106086010106,11230610
1106071020003,11230710
1107059031001,11260580
1108058020403,11290580
1108072030406,11290725
1109071040002,11305545
1110055010005,11320690
1110057020602,11320710
1111079010103,11350595
1111058050102,11350611
1112052020004,11380520
1112055010201,11380551
1112067010004,11380640
1115051010004,11470510
1115071010110,11470550
1115065030301,11470630
1120071040004,11590605
1123074020103,11680740
1124061010007,11710580
1124063010002,11710600
1124068030002,11710641
1101071010007,11110710
1102060020001,11140605
1104054020004,11200540
1104068040001,11200690
1104069020005,11200720
1106073030501,11230730
