집계구코드,행정동코드
1107060000000 ,11260610
1110060000000 ,11320511
1110060000000 ,11320513
1111060000000 ,11350621
1112050000000 ,11380510
1115060000000 ,11470560
1115060000000 ,11470580
1115070000000 ,11470640
1117050000000 ,11530520
1117070000000 ,11530740
1119050000000 ,11560540
1121080000000 ,11620595
1121060000000 ,11620630
1123070000000 ,11680660
1124060000000 ,11710600
1124080000000 ,11710646
1124080000000 ,11710680
1125070000000 ,11740685
1105050000000 ,11215710
1108060000000 ,11290630
1112050000000 ,11380510
1112050000000 ,11380520
1112070000000 ,11380625
1113070000000 ,11410720
1114060000000 ,11440610
1114070000000 ,11440730
1115070000000 ,11470640
1116070000000 ,11500630
1117050000000 ,11530520
1118050000000 ,11545620
1121060000000 ,11620630
1121070000000 ,11620695
1122060000000 ,11650600
1122070000000 ,11650621
1123080000000 ,11680565
1124060000000 ,11710566
1124080000000 ,11710646
1125060000000 ,11740580
1125060000000 ,11740620
1105060000000 ,11215750
1105060000000 ,11215770
1108080000000 ,11290770
1110070000000 ,11320522
1111060000000 ,11350611
1112050000000 ,11380520
1112060000000 ,11380551
1112070000000 ,11380600
1114070000000 ,11440680
1114070000000 ,11440710
1116070000000 ,11500611
1116070000000 ,11500630
1116070000000 ,11500640
1117050000000 ,11530520
1118060000000 ,11545700
1120070000000 ,11590510
1120050000000 ,11590540
1121060000000 ,11620615
1122070000000 ,11650621
1124070000000 ,11710641
1124080000000 ,11710646
1125060000000 ,11740560
1125060000000 ,11740580
1125060000000 ,11740590
1125070000000 ,11740685
1104070000000 ,11200650
1106090000000 ,11230600
1108070000000 ,11290715
1109070000000 ,11305545
1111070000000 ,11350720
1112060000000 ,11380560
1112070000000 ,11380690
1113070000000 ,11410685
1115060000000 ,11470610
1116070000000 ,11500630
1116070000000 ,11500641
1117050000000 ,11530520
1117070000000 ,11530530
1119060000000 ,11560560
1120070000000 ,11590650
1121060000000 ,11620630
1123070000000 ,11680650
1124080000000 ,11710646
1107050000000 ,11260520
1108070000000 ,11290715
1109060000000 ,11305610
1109070000000 ,11305630
1109070000000 ,11305645
1109080000000 ,11305660
1113070000000 ,11410700
1116050000000 ,11500510
1116070000000 ,11500630
1117050000000 ,11530520
1117070000000 ,11530770
1117070000000 ,11530790
1119050000000 ,11560540
1121050000000 ,11620525
1121060000000 ,11620630
1121070000000 ,11620725
1123080000000 ,11680565
1124080000000 ,11710646
1104070000000 ,11200660
1105060000000 ,11215820
1108060000000 ,11290600
1112060000000 ,11380570
1112070000000 ,11380625
1114070000000 ,11440710
1116070000000 ,11500630
1116070000000 ,11500641
1121080000000 ,11620565
1122070000000 ,11650621
1123070000000 ,11680650
1123070000000 ,11680656
1124080000000 ,11710646
1102060000000 ,11140590
1102070000000 ,11140680
1106080000000 ,11230536
1110060000000 ,11320515
1110050000000 ,11320670
1115060000000 ,11470611
1116050000000 ,11500510
1116070000000 ,11500630
1117060000000 ,11530750
1118050000000 ,11545510
1119060000000 ,11560560
1119070000000 ,11560690
1122070000000 ,11650621
1123070000000 ,11680650
1124080000000 ,11710646
1124080000000 ,11710690
1125060000000 ,11740600
1125070000000 ,11740610
1101070000000 ,11110680
1106080000000 ,11230536
1110070000000 ,11320522
1112050000000 ,11380510
1116050000000 ,11500510
1116070000000 ,11500620
1116070000000 ,11500640
1119060000000 ,11560560
1119060000000 ,11560560
1121070000000 ,11620695
1122060000000 ,11650600
1123070000000 ,11680650
1124060000000 ,11710566
1124080000000 ,11710646
1101070000000 ,11110700
1105060000000 ,11215750
1105060000000 ,11215770
1107060000000 ,11260620
1108080000000 ,11290770
1116060000000 ,11500590
1117060000000 ,11530550
1118060000000 ,11545670
1119060000000 ,11560560
1123070000000 ,11680656
1124080000000 ,11710646
1125070000000 ,11740685
1103060000000 ,11170570
1104070000000 ,11200650
1106080000000 ,11230545
1111080000000 ,11350595
1112060000000 ,11380570
1113070000000 ,11410685
1115060000000 ,11470560
1116070000000 ,11500641
1118060000000 ,11545640
1119070000000 ,11560690
1120070000000 ,11590605
1120070000000 ,11590640
1123050000000 ,11680510
1123070000000 ,11680656
1124070000000 ,11710641
1125070000000 ,11740570
1125060000000 ,11740620
1102070000000 ,11140645
1103060000000 ,11170590
1104070000000 ,11200720
1105060000000 ,11215780
1107050000000 ,11260540
1107070000000 ,11260575
1109060000000 ,11305600
1109070000000 ,11305630
1111080000000 ,11350695
1113070000000 ,11410700
1114070000000 ,11440690
1116070000000 ,11500640
1119060000000 ,11560560
1123050000000 ,11680510
1123080000000 ,11680565
1123070000000 ,11680690
1125060000000 ,11740620
1103060000000 ,11170590
1104070000000 ,11200660
1107070000000 ,11260655
1108070000000 ,11290715
1110060000000 ,11320521
1111080000000 ,11350695
1112070000000 ,11380625
1113070000000 ,11410720
1114060000000 ,11440600
1114070000000 ,11440710
1115060000000 ,11470611
1116070000000 ,11500640
1119070000000 ,11560720
1120050000000 ,11590520
1120050000000 ,11590540
1122060000000 ,11650560
1122060000000 ,11650580
1124050000000 ,11710532
1124070000000 ,11710642
1124080000000 ,11710647
1125060000000 ,11740620
1102070000000 ,11140645
1103060000000 ,11170570
1103060000000 ,11170590
1107060000000 ,11260570
1107070000000 ,11260680
1108080000000 ,11290705
1110060000000 ,11320514
1110070000000 ,11320522
1110050000000 ,11320670
1111060000000 ,11350612
1111080000000 ,11350695
1115060000000 ,11470611
1116070000000 ,11500611
1116070000000 ,11500611
1116070000000 ,11500630
1117070000000 ,11530740
1117070000000 ,11530760
1119050000000 ,11560540
1119070000000 ,11560700
1120050000000 ,11590540
1121060000000 ,11620575
1121070000000 ,11620735
1123080000000 ,11680565
1123070000000 ,11680660
1124080000000 ,11710647
1124080000000 ,11710680
1125060000000 ,11740600
1125070000000 ,11740610
1125060000000 ,11740620
1102070000000 ,11140625
1102070000000 ,11140645
